x,y,z,vx,vy,vz,mass
3.326925676721177e+01,2.202092394068883e+01,3.014652747734203e+01,3.499436684492399e-01,-4.767500591780754e-02,1.978231694344289e-01,1.081565539390578e+00
-9.705307850699462e+00,1.534899236020246e+01,-3.747163573832646e+01,-6.302648620664460e-02,-1.634802011480892e-01,-8.798722381900674e-02,1.401413822267863e+00
2.434496761244313e+01,-4.530742201801882e+01,4.395366500988043e+01,7.095811167022546e-02,-5.532391999341840e-03,-3.460832669578361e-02,1.983928953289952e+00
-2.401521957082869e+01,-2.701526236817381e+00,-4.420797836016525e+01,4.739859341808573e-01,3.375907125065048e-01,1.220235390821513e-01,1.143561477374081e+00
1.526464437075868e+01,2.211171554893557e+01,3.161662518747204e+01,-1.798061959807538e-02,-5.762064906182775e-02,1.145082122945878e-01,1.331963048471121e+00
3.926871604088630e+01,-1.829940570601999e+01,-8.607449064075803e+00,-2.017184690249260e-01,4.674561074701487e-01,3.969210319664920e-02,1.735255045227360e+00
-2.005569340965450e+01,4.566917390985287e+01,-3.675656169662039e+01,-4.532839995395287e-01,4.986859829243907e-01,-4.234483995487763e-01,1.617674112607573e+00
-4.363794168076613e-01,3.705879480218100e+00,1.031860958960093e+01,2.482615359031608e-01,-4.884478957125212e-01,1.583030463867780e-01,1.722247469575259e+00
3.491625074406735e+01,-2.246532155848358e+01,3.676172481113017e+01,1.969066157916800e-03,-4.979800534807948e-01,1.808301161579728e-01,1.983988446641708e+00
-5.720966613045555e+00,-2.035849742954718e+01,-1.817537045228941e+01,-1.608963574963304e-01,1.076697105148019e-01,2.294800830120173e-01,1.637385173531894e+00
7.891683471564919e+00,-2.336190436631482e+01,-1.272666908484204e+01,3.791017238284243e-01,-2.791229354484569e-01,9.309085808689306e-03,1.925817724282768e+00
-2.783097861159928e+01,8.213872577861073e+00,3.994278544321543e+00,2.127166380549029e-01,-3.721960405234385e-01,-3.549050981486808e-01,1.460978173399800e+00
-3.557589474507098e+01,2.992351936286427e+01,-3.212840116003846e+01,4.884988805837677e-01,-4.162754668095202e-01,-4.509654109498544e-01,1.490467946273493e+00
-4.139540825115572e+01,2.251167360325456e+01,-2.263952867507784e+00,3.014377782492064e-02,-4.747969660879661e-01,2.904078875173363e-01,1.869247420164406e+00
1.299527299052855e+01,2.277857163344074e+00,1.042532135053219e+00,-2.920014387324122e-01,2.890601562127382e-01,3.792728119888978e-01,1.087100284680305e+00
-4.927677770643074e+01,-1.066736768519344e+01,-4.865178925826448e+01,-2.704997321591787e-01,4.744425835067579e-01,5.640984546767667e-02,1.942216906203989e+00
-4.003374314235808e+01,2.015537741996076e+01,-9.594071364070540e+00,-2.583973932017811e-01,4.902695521018493e-03,8.642072211964713e-02,1.230101486775140e+00
9.037094587229857e+00,1.341085112695235e+01,2.175196917690581e+01,1.743717084693414e-01,-1.346799836825678e-01,-3.049741745445628e-01,1.204515485653894e+00
-1.142429918977858e+01,4.854869298914047e+01,-4.254331396565176e+01,-4.766042059968896e-01,5.321683042117386e-03,8.039549911911409e-02,1.231394355758743e+00
-2.075749705137424e+01,-3.684918734796292e+00,-1.831912330668798e+01,-1.956809408286799e-01,3.482502078868418e-01,-1.685873505895333e-01,1.533819327379493e+00
3.269421842513951e+01,3.887157676754160e+01,-2.017145375960214e+00,4.249393333639893e-01,8.932724194368699e-02,3.792313122589192e-01,1.166541939678854e+00
-4.039414912312584e+01,-3.833689264646564e+00,-1.071844444805705e+01,1.828571659958532e-01,-3.988926549979602e-01,-3.827871400138448e-01,1.357228874395242e+00
-3.000313453609515e+00,-1.897845905480736e+01,6.309943270774145e+00,3.569504119714559e-01,-2.023276014342477e-01,1.355072658540275e-01,1.880346205961120e+00
2.989678408594127e+01,-2.823415247987768e+01,-3.889570867237956e+01,-4.026240799597518e-01,1.755710750772884e-01,-6.976479775918540e-02,1.401694979240045e+00
2.228642317330307e+00,2.631425550243793e+01,4.346298120118165e+01,-1.534859271228384e-01,1.494703463186125e-01,-8.844946081474968e-02,1.271453405856832e+00
-2.628721363597376e+01,-2.066538096178847e+01,-5.865826626935890e+00,-1.669724744584642e-01,2.564338854626590e-01,3.346387729375165e-01,1.015884691391087e+00
3.557809163582576e+01,4.494925360677650e+01,-1.225378549552299e+01,-1.760314083043571e-01,-2.359096821929155e-01,4.348579258518889e-01,1.180919003291484e+00
6.041028439308805e+00,7.322787079413388e+00,-4.420047335074287e+01,-1.352432024099426e-01,2.862679556902152e-01,-3.269942293825414e-01,1.462132717697943e+00
-3.330436662689265e+00,1.018898609032637e+01,3.668211174388101e+01,4.856603126959544e-01,-1.351111762517049e-01,2.993420034757700e-01,1.332174385121173e+00
-4.881092623024973e+01,-2.890907132270165e+01,9.904402281348494e+00,-2.468432413964660e-01,1.674394394789856e-03,-4.583768630157704e-01,1.586184283991430e+00
-2.457352255797665e+01,3.795430453231315e+01,1.068208007942282e+01,-3.843504901815717e-01,3.281135422309383e-01,4.751825411733447e-01,1.439618101548226e+00
-4.062564744848866e+01,4.098445235817201e+01,1.223551279758903e+01,1.539665767081757e-01,-1.959434229335321e-02,1.818023136094992e-01,1.018723373775707e+00
-2.310412600988992e+01,3.543885746964043e+01,-2.069707017175512e+00,2.285126437411684e-01,-4.195094374291309e-02,-1.553162110919835e-01,1.714172956400631e+00
3.263108510667092e+01,-3.574250246825864e+01,-4.521529076183293e+01,3.372970506167641e-01,-1.450816651484124e-01,1.499751326034432e-01,1.090453808703671e+00
3.527397392396411e+01,1.922768712682445e+01,1.744251633758064e+01,-3.852989915980701e-01,6.786017890265746e-02,-2.212929319363658e-01,1.230350518240757e+00
-1.041445034178982e+01,-2.494710904657779e+01,1.678736770305372e+01,-1.182241900315528e-02,-3.360699246348119e-01,-2.094942758519670e-01,1.142144157151759e+00
1.484458270311581e+01,4.755791990084269e+01,-3.377152328436253e+01,4.110093470066351e-01,3.271161218266907e-01,1.417236229144198e-01,1.639521990269200e+00
-2.187537916300183e+01,4.827117437805714e+01,-1.473046309185015e+01,-3.918969420880707e-01,-3.695667964129818e-01,-9.995771226004553e-02,1.945400108557847e+00
-1.622901881191736e+00,-4.475664233424938e+01,-4.620211631041685e+01,-1.580557323761698e-01,2.416156897722719e-01,2.124920100352868e-01,1.456645276144447e+00
-1.884696359527915e+01,4.886499648970953e+01,1.855654385221143e+01,2.054495894224385e-01,-2.549113137765511e-01,-1.430355863269206e-01,1.193627169911576e+00
-9.544769291317115e+00,1.486679196233403e+01,-1.642622843565986e+01,-4.466455047616480e-01,1.197781751610102e-01,-3.361141978242238e-03,1.964363842254674e+00
-5.078510859783346e+00,-3.653898202206424e+01,1.084616398454982e+01,2.320594749123789e-01,-3.752301077793095e-01,4.575807787293617e-01,1.840162532795296e+00
-2.423913578022865e+01,-1.433005291539977e+01,2.887768069343628e+01,2.405546348691829e-01,-9.235951421979172e-02,3.214165580954850e-01,1.082498902027728e+00
-3.511565045757441e+01,3.415964409201866e+00,3.640557789306742e+00,-4.126795630946248e-02,2.510764520385010e-02,-2.738600279130987e-01,1.164181632531891e+00
2.669884829601461e+01,8.041013103217345e+00,-1.402553962613437e+01,-3.207849063769525e-01,-2.694254768197263e-01,1.935801295307573e-01,1.232569588922229e+00
3.483251683519275e+01,-3.114951982888659e+01,-3.000583766608326e+01,-2.027530050107487e-01,-1.714185320514812e-01,3.008192628152389e-01,1.029306469498811e+00
-4.456309494537466e+00,2.545602720971221e+01,3.710193187255756e+01,2.085544563503907e-01,-3.839768934975014e-01,1.550316431122475e-01,1.449109090701262e+00
2.539279044624633e+00,-2.844823098445670e+00,2.731551443327717e+00,1.729197677586886e-01,-4.896432315146151e-01,-4.292478295782535e-01,1.131651810897352e+00
3.352102163624692e+00,-1.993078921894820e+01,-2.026301341118401e+01,-1.943392542978670e-01,3.799965283300181e-01,1.536422459094108e-01,1.484875839429384e+00
-3.848197114322839e+01,-1.524032114619269e+01,2.215892169420487e+01,4.609237500189600e-01,3.744136243247664e-02,4.143788590239628e-01,1.258170744524417e+00
3.642165722038948e+01,2.149341029905115e+01,-2.159533238181681e+01,-1.806258097417560e-01,-2.640183762572074e-02,-3.430537841310233e-01,1.027928646666896e+00
